d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
24000,San Francisco de Campeche Centro,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0001,Urbano,01
24005,Banco Nacional de México SA,Gran usuario,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,22,002,0006,Urbano,01
24008,Bancomer SA,Gran usuario,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,22,002,0007,Urbano,01
24009,Administración Fiscal Regional Peninsular de Hacienda,Gran usuario,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,22,002,0008,Urbano,01
24010,San Francisco,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,02,002,0011,Urbano,01
24010,Villa del Río,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,0013,Urbano,01
24010,Pablo Garcia,Unidad habitacional,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,31,002,0010,Urbano,01
24010,Guadalupe,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,0532,Urbano,01
24010,Guadalupe,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,02,002,0009,Urbano,01
24014,Ah-kim-pech,Zona comercial,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,33,002,0533,Urbano,01
24019,Secretaria de Desarrollo Rural,Gran usuario,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,22,002,0015,Urbano,01
24020,San Joaquín,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0020,Urbano,01
24020,Dzarbay,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0538,Urbano,01
24020,Bellavista,Ampliación,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,38,002,0017,Urbano,01
24020,Bellavista,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0016,Urbano,01
24020,Emiliano Zapata,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0018,Urbano,01
24020,San Caralampio,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0537,Urbano,01
24020,Residencial del Bosque,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,0004,Urbano,01
24020,Benito Juárez,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0535,Urbano,01
24020,Villamar,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,1170,Urbano,01
24020,Camino Real,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0534,Urbano,01
24020,La Ermita,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,02,002,0019,Urbano,01
24020,Santa Lucia,Barrio,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,02,002,0021,Urbano,01
24020,Sotavento,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,1066,Urbano,01
24020,Buenos Aires,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,0536,Urbano,01
24022,Montecarlo,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24051,04,24051,,21,002,0035,Urbano,01
24023,Residencial Algarrobo,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,0054,Urbano,01
24023,Ernesto Zedillo,Colonia,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,09,002,0539,Urbano,01
24023,Las Murallas,Fraccionamiento,Campeche,Campeche,San Francisco de Campeche,24003,04,24003,,21,002,0030,Urbano,01
