d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
29000,Tuxtla Gutiérrez Centro,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0001,Urbano,04
29000,San Jacinto,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,02,101,2378,Urbano,04
29000,El Magueyito,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,02,101,2377,Urbano,04
29000,Santo Domingo,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,02,101,5735,Urbano,04
29000,Guadalupe,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,02,101,2812,Urbano,04
29007,Delegación de La Secretaria de Salud,Gran usuario,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,22,101,0007,Urbano,04
29008,Delegación de La Secretaria de Educación Publica,Gran usuario,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,22,101,0008,Urbano,04
29009,Palacio de Gobierno del Estado de Chiapas,Gran usuario,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,22,101,0009,Urbano,04
29010,Nueva Reforma,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0019,Urbano,04
29010,Villa San Marcos,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,0021,Urbano,04
29010,Maya,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2375,Urbano,04
29010,Estrella de Oriente,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2807,Urbano,04
29010,Misol-ha,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,3589,Urbano,04
29010,El Valle,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0014,Urbano,04
29010,Renovación,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0020,Urbano,04
29010,La Victoria,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2820,Urbano,04
29010,Burócrata,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0013,Urbano,04
29010,Los Manguitos,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0017,Urbano,04
29010,Huajitlan,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2376,Urbano,04
29010,Amarantos,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,2567,Urbano,04
29010,Nueva Delicias,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,3582,Urbano,04
29010,Unidad Administrativa,Equipamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,17,101,0006,Urbano,04
29010,Albania Alta,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0010,Urbano,04
29010,Albania Baja,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0011,Urbano,04
29010,Lomas del Valle,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0016,Urbano,04
29010,Nueva Estrella,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2381,Urbano,04
29010,Morelos,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2836,Urbano,04
29010,Agua Azul,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,3583,Urbano,04
29010,Las Delicias,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0015,Urbano,04
29010,Magisterio 2000,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,0018,Urbano,04
29010,San Fernando,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2382,Urbano,04
29014,Canteras,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0022,Urbano,04
29014,Pedregal San Antonio,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0024,Urbano,04
29014,Ampliación Pomarrosa,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0025,Urbano,04
29014,Valle Dorado,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,0149,Urbano,04
29014,Las Canteras,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,2797,Urbano,04
29014,Rosario Poniente,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2854,Urbano,04
29014,Villareal,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,3240,Urbano,04
29014,Pomarrosa,Ampliación,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,38,101,3241,Urbano,04
29014,Santa Clara,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,5510,Urbano,04
29014,Loma Real,Conjunto habitacional,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,12,101,0023,Urbano,04
29014,Jardines de las Flores,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,3242,Urbano,04
29014,México,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,3239,Urbano,04
29016,Candox,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,2649,Urbano,04
29016,Adonahi,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0026,Urbano,04
29016,Linda Vista Shanka,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2383,Urbano,04
29016,12 de Noviembre,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2784,Urbano,04
29016,Luis Donaldo Colosio,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2648,Urbano,04
29016,Grijalva,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,3579,Urbano,04
29016,Yúquiz,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,5549,Urbano,04
29017,Capulines 1,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,2571,Urbano,04
29017,Colinas de Oriente,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,09,101,0030,Urbano,04
29017,Estrada,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,07,29002,,21,101,3581,Urbano,04
